Restricted API,Highly-Correlation API,Sensitive Operation API,Union
,,,java.io.File renameTo
,,,java.io.FileNotFoundException toString
,,,java.io.FileOutputStream write
,,,java.io.FileReader read
,,,java.io.FileWriter close
,,,java.io.FileWriter write
,,,java.io.LineNumberReader close
,,,java.io.LineNumberReader LineNumberReader
,,,java.io.LineNumberReader readLine
,,,java.io.OutputStreamWriter close
,,,java.io.OutputStreamWriter flush
,,,java.io.Reader markSupported
,,,java.io.StringReader close
,,,java.io.UnsupportedEncodingException initCause
,,,java.lang.Character Character
,,,java.lang.Character toTitleCase
,,,java.lang.Class forName
,,,java.lang.Class getDeclaredField
,,,java.lang.Class getDeclaredMethod
,,,java.lang.Class getDeclaredMethods
,,,java.lang.ClassLoader ClassLoader
,,,java.lang.ClassLoader getParent
,,,java.lang.Exception fillInStackTrace
,,,java.lang.Float Float
,,,java.lang.IllegalAccessError printStackTrace
,,,java.lang.Integer byteValue
,,,java.lang.NumberFormatException printStackTrace
,,,java.lang.Process destroy
,,,java.lang.Process getInputStream
,,,java.lang.Process getOutputStream
,,,java.lang.Process waitFor
,,,java.lang.ProcessBuilder ProcessBuilder
,,,java.lang.ProcessBuilder redirectErrorStream
,,,java.lang.ProcessBuilder start
,,,java.lang.reflect.AccessibleObject setAccessible
,,,java.lang.reflect.InvocationTargetException printStackTrace
,,,java.lang.reflect.Method invoke
,,,java.lang.reflect.Proxy newProxyInstance
,,,java.lang.Runtime exec
,,,java.lang.Runtime getRuntime
,,,java.lang.Runtime load
,,,java.lang.Runtime loadLibrary
,,,java.lang.StringBuffer ensureCapacity
,,,java.lang.StringBuffer substring
,,,java.math.BigInteger divideAndRemainder
,,,java.net.HttpURLConnection connect
,,,java.net.NetworkInterface getByName
,,,java.net.NetworkInterface getDisplayName
,,,java.net.NetworkInterface getInetAddresses
,,,java.net.Proxy Proxy
,,,java.net.Socket connect
,,,java.net.SocketException printStackTrace
,,,java.net.SocketTimeoutException printStackTrace
,,,java.net.URISyntaxException getCause
,,,java.net.URL getDefaultPort
,,,java.net.URLClassLoader loadClass
,,,java.net.URLClassLoader URLClassLoader
,,,java.net.URLConnection connect
,,,java.net.URLConnection getHeaderField
,,,java.net.URLConnection setDoInput
,,,java.nio.channels.FileChannel lock
,,,java.nio.channels.FileLock release
,,,java.nio.charset.CoderResult isError
,,,java.nio.charset.CoderResult isOverflow
,,,java.nio.charset.CoderResult toString
,,,java.nio.charset.IllegalCharsetNameException IllegalCharsetNameException
,,,java.security.cert.Certificate getPublicKey
,,,java.security.cert.CertificateEncodingException printStackTrace
,,,java.security.cert.CertificateException printStackTrace
,,,java.security.DigestInputStream DigestInputStream
,,,java.security.DigestInputStream getMessageDigest
,,,java.security.DigestInputStream read
,,,java.security.interfaces.RSAPrivateKey getModulus
,,,java.security.interfaces.RSAPublicKey getModulus
,,,java.security.InvalidAlgorithmParameterException printStackTrace
,,,java.security.InvalidKeyException printStackTrace
,,,java.security.Key getEncoded
,,,java.security.SecureRandom setSeed
,,,java.security.Security setProperty
,,,java.security.spec.RSAPrivateCrtKeySpec RSAPrivateCrtKeySpec
,,,java.security.spec.RSAPrivateKeySpec RSAPrivateKeySpec
,,,java.security.spec.RSAPublicKeySpec RSAPublicKeySpec
,,,java.text.DateFormat getInstance
,,,java.text.SimpleDateFormat applyLocalizedPattern
,,,java.text.SimpleDateFormat applyPattern
,,,java.util.concurrent.FutureTask done
,,,java.util.concurrent.ScheduledExecutorService awaitTermination
,,,java.util.concurrent.ThreadPoolExecutor getActiveCount
,,,java.util.concurrent.ThreadPoolExecutor getCompletedTaskCount
,,,java.util.concurrent.ThreadPoolExecutor getTaskCount
,,,java.util.Date toLocaleString
,,,java.util.Hashtable keys
,,,java.util.jar.Attributes Attributes
,,,java.util.jar.Attributes putAll
,,,java.util.jar.Attributes putValue
,,,java.util.jar.JarEntry getName
,,,java.util.jar.JarFile close
,,,java.util.jar.JarFile entries
,,,java.util.jar.JarFile JarFile
,,,java.util.jar.Manifest read
,,,java.util.Properties put
,,,java.util.Properties store
,,,java.util.SortedMap putAll
,,,java.util.SortedSet addAll
,,,java.util.SortedSet iterator
,,,java.util.WeakHashMap keySet
,,,java.util.WeakHashMap size
,,,java.util.zip.Adler32 Adler32
,,,java.util.zip.Adler32 getValue
,,,java.util.zip.Adler32 reset
,,,java.util.zip.Adler32 update
,,,java.util.zip.Deflater Deflater
,,,java.util.zip.Deflater finished
,,,java.util.zip.GZIPOutputStream finish
,,,java.util.zip.GZIPOutputStream flush
,,,java.util.zip.ZipEntry setCompressedSize
,,,javax.crypto.BadPaddingException printStackTrace
,,,javax.crypto.Cipher doFinal
,,,javax.crypto.Cipher getBlockSize
,,,javax.crypto.Cipher getInstance
,,,javax.crypto.Cipher init
,,,javax.crypto.CipherOutputStream close
,,,javax.crypto.CipherOutputStream flush
,,,javax.crypto.CipherOutputStream write
,,,javax.crypto.EncryptedPrivateKeyInfo getKeySpec
,,,javax.crypto.IllegalBlockSizeException printStackTrace
,,,javax.crypto.KeyGenerator generateKey
,,,javax.crypto.KeyGenerator getInstance
,,,javax.crypto.KeyGenerator init
,,,javax.crypto.Mac getAlgorithm
,,,javax.crypto.NoSuchPaddingException printStackTrace
,,,javax.crypto.SecretKeyFactory generateSecret
,,,javax.crypto.SecretKeyFactory getInstance
,,,javax.crypto.spec.DESedeKeySpec DESedeKeySpec
,,,javax.crypto.spec.DESKeySpec DESKeySpec
,,,javax.crypto.spec.SecretKeySpec SecretKeySpec
,,,javax.net.ssl.HttpsURLConnection setDefaultHostnameVerifier
,,,org.apache.http.conn.ConnectTimeoutException printStackTrace
,,,org.apache.http.params.HttpConnectionParams setStaleCheckingEnabled
,,,org.apache.http.params.HttpParams setIntParameter
,,,org.w3c.dom.Element getElementsByTagName
,,,org.xmlpull.v1.XmlPullParser nextText
,,,org.xmlpull.v1.XmlSerializer setFeature
,,,org.xmlpull.v1.XmlSerializer text
