Restricted API,Highly-Correlation API,Sensitive Operation API,Union
android.location.LocationManager addGpsStatusListener,java.util.jar.JarFile entries,android.content.Context sendBroadcast,android.content.ContentResolver delete
android.media.MediaRecorder setVideoSource,java.util.jar.JarEntry getName,android.content.Context registerReceiver,android.content.Context bindService
android.provider.Contacts queryGroups,android.os.HandlerThread isAlive,android.content.BroadcastReceiver abortBroadcast,android.content.Context fileList
android.telephony.SubscriptionManager getActiveSubscriptionInfo,android.location.LocationManager setTestProviderEnabled,java.lang.Class forName,android.content.Context registerReceiver
android.telephony.TelephonyManager getVoiceMailNumber,android.telephony.SignalStrength getEvdoSnr,java.lang.Class getDeclaredMethod,android.content.Context sendBroadcast
android.hardware.Camera open,android.app.AlertDialog onCreate,java.lang.Class getDeclaredMethods,android.content.Context startActivity
android.provider.ContactsContract newSetOperation,java.security.spec.RSAPrivateCrtKeySpec RSAPrivateCrtKeySpec,java.lang.Class getDeclaredField,android.content.Context startService
android.telephony.TelephonyManager getAllCellInfo,android.view.animation.AlphaAnimation start,java.lang.reflect.Method invoke,android.content.Context stopService
android.provider.Browser clearSearches,java.lang.Exception fillInStackTrace,java.lang.reflect.Proxy newProxyInstance,android.content.ContextWrapper createPackageContext
android.telephony.TelephonyManager getVoiceMailAlphaTag,android.telephony.SignalStrength getCdmaEcio,android.view.ViewManager addView,android.content.ContextWrapper removeStickyBroadcast
android.telephony.gsm.SmsManager divideMessage,android.telephony.TelephonyManager getVoiceMailNumber,android.view.ViewManager removeView,android.content.ContextWrapper sendBroadcast
android.inputmethodservice.KeyboardView swipeDown,java.text.SimpleDateFormat applyLocalizedPattern,android.view.ViewGroup addView,android.content.ContextWrapper sendBroadcastAsUser
android.net.sip.SipManager isOpened,java.security.interfaces.RSAPrivateKey getModulus,android.widget.TextView setText,android.content.ContextWrapper sendOrderedBroadcast
android.location.LocationManager isProviderEnabled,java.net.URLClassLoader loadClass,android.app.AlertDialog AlertDialog,android.content.ContextWrapper sendOrderedBroadcastAsUser
android.telephony.gsm.SmsManager sendMultipartTextMessage,java.net.NetworkInterface getDisplayName,android.view.WindowManager aadView,android.content.ContextWrapper sendStickyBroadcast
android.net.sip.SipManager getSessionFor,java.util.zip.Adler32 update,android.util.Base64 encode,android.content.ContextWrapper sendStickyBroadcastAsUser
android.telephony.TelephonyManager getDeviceId,java.util.zip.Adler32 getValue,android.util.Base64 decode,android.content.ContextWrapper sendStickyOrderedBroadcast
android.telephony.TelephonyManager getNeighboringCellInfo,java.nio.charset.CoderResult toString,javax.crypto.Cipher doFinal,android.content.ContextWrapper sendStickyOrderedBroadcastAsUser
android.telephony.TelephonyManager listen,java.util.Date toLocaleString,javax.crypto.Cipher getInstance,android.content.ContextWrapper stopService
android.media.MediaRecorder setAudioSource,java.security.interfaces.RSAPublicKey getModulus,javax.crypto.Cipher init,android.content.IntentFilter setPriority
android.speech.SpeechRecognizer stopListening,java.io.UnsupportedEncodingException initCause,javax.crypto.spec.SecretKeySpec SecretKeySpec,android.content.pm.PackageManager getPackageArchiveInfo
android.location.LocationManager addProximityAlert,android.webkit.WebView setVerticalScrollbarOverlay,java.lang.ClassLoader ClassLoader,android.content.pm.ProviderInfo ProviderInfo
android.provider.CalendarContract query,javax.crypto.spec.DESedeKeySpec DESedeKeySpec,dalvik.system.BaseDexClassLoader BaseDexClassLoader,android.content.pm.ServiceInfo ServiceInfo
android.provider.Contacts getSetting,java.text.DateFormat getInstance,dalvik.system.PathClassLoader PathClassLoader,android.content.res.Configuration setToDefaults
android.accounts.AccountManager updateCredentials,java.io.LineNumberReader readLine,dalvik.system.DexClassLoader DexClassLoader,android.database.sqlite.SQLiteDatabase create
android.accounts.AccountManager removeAccount,org.xmlpull.v1.XmlSerializer setFeature,dalvik.system.DexFile DexFile,android.database.sqlite.SQLiteDatabase delete
android.provider.CalendarContract insert,android.telephony.cdma.CdmaCellLocation getNetworkId,dalvik.system.InMemoryDexClassLoader InMemoryDexClassLoader,android.database.sqlite.SQLiteDatabase deleteDatabase
android.accounts.AccountManager addOnAccountsUpdatedListener,java.lang.Process destroy,,android.database.sqlite.SQLiteDatabase execSQL
android.telephony.SmsManager downloadMultimediaMessage,java.io.LineNumberReader LineNumberReader,,android.database.sqlite.SQLiteDatabase insert
android.telecom.TelecomManager isInCall,android.content.res.Configuration setToDefaults,,android.database.sqlite.SQLiteDatabase insertWithOnConflict
